industry_primary,incident_date,discovery_date,attack_vector_primary,data_compromised_records
62,2024-12-31,2025-01-10,ransomware,7476
44-45,2024-12-05,2025-01-08,phishing,14916
51,2022-08-07,2022-08-14,phishing,58015
31-33,2023-01-11,2023-04-15,phishing,543729
72,2022-10-15,2022-10-24,data_breach,
72,2024-02-05,2024-02-08,phishing,1000
48-49,2021-12-31,2022-01-17,backdoor,
62,2025-03-14,2025-05-16,ddos,
61,2024-09-08,2024-12-07,backdoor,
52,2022-03-14,2022-03-22,apt,5519019
92,2022-12-29,2023-01-13,malware,
62,2021-09-10,2021-12-14,ransomware,2527
51,2025-04-26,2025-10-26,ransomware,67450
22,2023-12-22,2023-12-24,ransomware,26238
44-45,2022-06-08,2022-07-10,phishing,
56,2024-04-01,2024-04-03,ransomware,277339
92,2021-09-18,2021-09-30,phishing,
21,2021-01-20,2021-02-05,ransomware,20312
31-33,2025-12-20,2026-01-05,data_breach,26158
52,2021-08-03,2021-08-17,ransomware,8781
53,2022-11-18,2022-12-07,apt,22483
51,2024-11-15,2024-11-26,ransomware,24510
44-45,2021-07-11,2021-07-26,supply_chain,
42,2025-06-03,2025-07-04,ransomware,296640
53,2025-07-05,2025-08-09,supply_chain,
52,2023-06-07,2023-06-08,ransomware,3817
52,2024-12-24,2025-02-23,data_breach,950371
52,2025-08-28,2025-09-01,supply_chain,
51,2024-02-24,2024-03-06,ransomware,54730
44-45,2021-03-17,2021-03-27,apt,1000
44-45,2021-08-17,2021-10-16,ransomware,4814
51,2023-06-18,2023-07-20,ransomware,29072
51,2023-08-23,2023-08-26,trojan,
48-49,2023-09-18,2023-12-18,data_breach,
62,2024-01-19,2024-04-22,malware,45596
62,2024-07-18,2024-07-19,ransomware,72588
44-45,2023-02-20,2023-02-25,data_breach,185765
51,2022-01-27,2022-02-27,phishing,1146019
51,2023-08-24,2023-08-26,apt,101695
92,2022-04-25,2022-04-28,supply_chain,
31-33,2021-01-02,2021-04-03,malware,216824
51,2023-10-09,2023-10-27,data_breach,73464
51,2023-12-30,2024-01-07,phishing,24550
44-45,2023-03-09,2023-03-18,ransomware,
54,2025-09-07,2025-09-09,apt,559177
31-33,2023-02-03,2023-02-14,ransomware,218135
62,2025-12-12,2025-12-30,apt,3364858
22,2025-02-20,2025-08-19,supply_chain,
62,2025-11-18,2026-02-20,ransomware,227736
62,2025-05-09,2025-05-15,apt,
51,2025-12-10,2025-12-16,trojan,813937
72,2025-12-19,2026-03-21,ransomware,51025
22,2022-01-15,2022-02-02,ransomware,394094
52,2022-06-20,2022-09-19,phishing,115134
54,2023-01-16,2023-01-28,malware,8880469
31-33,2022-06-29,2022-10-01,ransomware,19879
62,2023-03-13,2023-04-14,phishing,15655
62,2025-11-16,2025-12-16,phishing,5203
44-45,2021-08-02,2021-10-02,ransomware,11469312
54,2025-02-02,2025-02-05,phishing,253301
44-45,2024-03-11,2024-05-13,ddos,
31-33,2025-12-26,2026-02-24,apt,49243
52,2022-10-02,2022-11-01,data_breach,18853
92,2025-12-14,2025-12-25,data_breach,377861
48-49,2021-12-17,2022-01-03,phishing,54963
61,2023-07-05,2023-08-08,ransomware,1399411
71,2021-09-29,2021-12-31,data_breach,
92,2022-09-10,2022-09-21,phishing,
48-49,2024-03-02,2024-03-19,ddos,
62,2023-05-07,2023-06-06,supply_chain,
51,2023-04-12,2023-10-13,trojan,261104
51,2024-01-13,2024-01-21,phishing,
92,2023-12-29,2024-01-16,apt,230489
92,2024-10-02,2024-10-16,phishing,608591
71,2023-06-09,2023-08-10,ddos,
56,2025-01-29,2025-02-17,ddos,
52,2022-03-13,2022-04-15,ransomware,7443
51,2025-05-10,2025-06-13,backdoor,
62,2023-12-09,2024-01-12,ransomware,1474963
44-45,2023-01-26,2023-05-01,malware,8223
48-49,2024-11-21,2024-11-29,ransomware,122513
31-33,2024-06-29,2024-08-31,trojan,
54,2024-11-05,2025-01-05,ransomware,
54,2022-08-16,2022-08-26,ransomware,36959
53,2025-01-27,2025-02-08,ransomware,14696
44-45,2024-03-20,2024-03-28,ddos,
23,2023-05-21,2023-05-23,apt,1000
31-33,2025-12-25,2026-01-26,apt,3392784
22,2022-11-16,2023-01-15,backdoor,
51,2021-03-31,2021-04-18,ransomware,731006
62,2021-07-13,2021-09-16,ransomware,298173
51,2025-07-27,2025-08-11,phishing,
52,2022-09-29,2022-10-01,supply_chain,
52,2022-06-29,2022-07-02,ransomware,11336
52,2025-10-22,2025-10-24,data_breach,15237
62,2024-04-26,2024-05-05,supply_chain,
62,2021-04-25,2021-06-25,phishing,232716
92,2025-09-17,2025-10-21,ransomware,6621
54,2025-07-28,2025-08-02,trojan,646765
62,2023-02-05,2023-08-05,ransomware,163660
62,2024-10-29,2024-11-03,malware,45521
62,2025-07-10,2025-10-11,phishing,238589
52,2023-10-02,2023-10-13,malware,996123
44-45,2025-06-12,2025-06-12,ddos,
52,2024-07-03,2024-07-12,apt,55354
51,2025-06-11,2025-07-15,ddos,
52,2024-09-10,2024-09-14,malware,
52,2021-08-10,2021-10-10,malware,1198
31-33,2023-12-15,2024-01-14,phishing,67207
51,2021-02-24,2021-02-27,trojan,19166
62,2025-06-13,2025-06-29,ransomware,29360
92,2023-06-17,2023-07-17,phishing,204950
54,2022-01-13,2022-02-17,ransomware,32593
51,2025-07-04,2025-07-23,ddos,
44-45,2025-10-23,2026-01-26,data_breach,
53,2024-03-25,2024-04-29,phishing,4613
52,2023-10-28,2023-11-29,phishing,59878
44-45,2021-09-04,2021-09-18,apt,1151
62,2024-10-04,2025-01-02,ddos,
44-45,2024-11-09,2025-02-08,ransomware,41089
44-45,2022-01-02,2022-01-11,ddos,
44-45,2021-04-28,2021-04-30,ransomware,
31-33,2023-08-21,2023-08-22,supply_chain,
21,2022-10-30,2023-01-03,malware,470480
48-49,2024-08-12,2024-10-14,supply_chain,
31-33,2023-02-10,2023-03-14,ddos,
51,2022-05-12,2022-05-14,ddos,
22,2025-05-26,2025-05-30,ransomware,8869
22,2024-12-30,2025-01-10,ransomware,46614
51,2021-08-20,2021-08-31,phishing,13220
72,2023-01-20,2023-04-20,apt,3746439
52,2021-09-02,2021-09-04,ransomware,1000
52,2023-10-24,2023-11-01,data_breach,58445
51,2024-12-14,2024-12-26,ransomware,
22,2021-01-11,2021-01-23,phishing,221745
72,2025-10-20,2025-10-22,ransomware,2213
31-33,2024-12-30,2025-01-30,phishing,
51,2022-02-20,2022-03-10,data_breach,
71,2023-07-01,2023-08-30,apt,167571
62,2025-05-22,2025-05-30,supply_chain,
51,2024-01-07,2024-01-17,data_breach,39780
52,2021-08-09,2021-08-24,phishing,
52,2024-12-13,2025-02-14,trojan,2436
61,2025-04-27,2025-05-12,phishing,1716827
52,2021-12-18,2022-03-19,phishing,4750
62,2023-03-08,2023-04-09,data_breach,
52,2023-09-20,2023-09-22,supply_chain,
31-33,2025-07-07,2025-07-09,apt,1531312
44-45,2023-04-02,2023-04-13,phishing,32127098
92,2025-07-19,2025-07-30,phishing,53723
31-33,2024-10-20,2025-01-20,ransomware,
92,2023-09-26,2023-09-30,ransomware,1122923
11,2024-05-23,2024-05-31,phishing,4645726
51,2021-07-13,2021-08-12,ransomware,2069087
51,2023-03-29,2023-09-30,supply_chain,
62,2023-09-27,2023-12-31,data_breach,
22,2025-01-21,2025-01-30,apt,122520
62,2025-10-23,2025-11-23,malware,842421
62,2023-08-05,2023-11-05,phishing,
42,2023-02-28,2023-03-30,ransomware,11038
52,2025-11-24,2025-12-01,phishing,62358
71,2024-10-26,2024-11-10,apt,43101
31-33,2022-07-20,2022-08-24,supply_chain,
44-45,2024-09-29,2024-10-30,ransomware,112301
52,2024-05-07,2024-06-10,phishing,265756
31-33,2025-06-09,2025-06-18,malware,11455
61,2023-06-11,2023-07-14,ransomware,
62,2023-09-30,2023-10-04,ransomware,61200
62,2023-10-07,2023-10-22,malware,
51,2024-03-20,2024-06-23,apt,3108
62,2022-10-09,2022-11-09,ddos,
62,2024-05-30,2024-07-02,phishing,3533
62,2025-02-23,2025-04-26,phishing,1058106
51,2025-04-04,2025-04-07,ransomware,2976493
31-33,2024-11-08,2024-11-27,ddos,
72,2023-04-27,2023-05-09,backdoor,
44-45,2023-09-17,2023-12-16,ransomware,39580
62,2025-06-22,2025-09-24,malware,36477
52,2021-08-04,2021-10-03,supply_chain,
31-33,2021-11-02,2021-11-06,ddos,
51,2023-05-23,2023-06-27,data_breach,129096
72,2025-08-02,2025-10-04,malware,1281368
22,2025-11-22,2026-02-20,apt,203375
54,2024-05-17,2024-06-03,data_breach,8569
62,2021-07-08,2021-09-10,ransomware,465789
92,2025-05-13,2025-05-25,phishing,23760
51,2024-06-28,2024-08-01,apt,5430
53,2022-03-16,2022-03-24,ransomware,599588
51,2023-08-08,2023-08-19,phishing,30796
51,2021-01-26,2021-01-29,malware,7731
62,2025-11-14,2026-01-17,malware,116203
44-45,2025-07-02,2025-07-03,malware,19885
44-45,2023-04-07,2023-10-06,ransomware,
44-45,2021-08-07,2021-08-11,data_breach,41575
62,2025-01-09,2025-01-15,supply_chain,
31-33,2021-01-25,2021-01-29,ransomware,21985997
71,2025-01-01,2025-02-01,trojan,1946
61,2021-07-24,2021-07-31,ransomware,48302
52,2023-03-20,2023-06-22,apt,152900
56,2024-12-24,2025-03-24,phishing,
72,2025-04-15,2025-04-25,phishing,
31-33,2024-07-26,2025-01-25,supply_chain,
54,2023-07-16,2023-09-18,data_breach,189812
62,2022-07-30,2022-08-15,apt,23364
62,2024-08-30,2024-09-11,malware,65421
31-33,2025-07-25,2025-09-25,malware,60300
51,2024-11-22,2024-11-24,phishing,25429
92,2024-07-28,2024-08-09,data_breach,
51,2024-10-25,2024-11-02,data_breach,176494
44-45,2025-09-25,2026-03-28,data_breach,100826
31-33,2023-10-01,2023-12-04,trojan,1745863
31-33,2025-06-01,2025-06-02,ransomware,
21,2025-01-18,2025-01-26,apt,
23,2022-04-01,2022-04-11,ransomware,142768
51,2021-07-19,2021-08-03,trojan,93300
51,2025-09-21,2025-10-22,apt,104844
52,2023-05-21,2023-06-05,ransomware,5970337
31-33,2024-05-05,2024-11-01,ddos,
62,2023-10-09,2023-10-13,ransomware,321127
51,2025-06-09,2025-06-16,supply_chain,
92,2023-12-24,2024-02-23,apt,9185
54,2025-03-05,2025-03-11,phishing,10570
52,2025-09-17,2025-09-28,phishing,9803
21,2025-10-14,2026-01-12,phishing,
61,2024-03-13,2024-03-14,ddos,
52,2024-07-17,2024-08-19,ransomware,7154
52,2021-06-04,2021-06-20,ransomware,1007993
52,2025-10-30,2025-11-30,data_breach,
22,2021-04-01,2021-04-07,ransomware,1000
51,2024-01-17,2024-01-25,data_breach,1002
52,2022-01-24,2022-01-25,ddos,
22,2024-05-17,2024-06-20,malware,422226
22,2021-08-27,2021-09-27,ddos,
21,2023-02-18,2023-03-01,malware,246915
61,2021-04-29,2021-05-29,phishing,1046542
31-33,2022-12-31,2023-01-04,data_breach,340112
31-33,2022-10-30,2022-11-29,phishing,28399
51,2024-01-18,2024-04-18,phishing,851034
56,2022-06-18,2022-07-18,phishing,
52,2024-10-01,2025-01-02,backdoor,
51,2023-11-25,2023-12-03,ddos,
62,2024-06-22,2024-12-20,supply_chain,
52,2023-05-08,2023-05-12,phishing,16114541
52,2025-03-31,2025-04-01,phishing,61515
92,2024-03-20,2024-09-19,ddos,
31-33,2024-01-29,2024-02-13,ransomware,41115
61,2023-10-01,2023-10-16,apt,10617
31-33,2022-10-28,2022-11-04,ddos,
62,2025-08-10,2025-08-28,phishing,5778
51,2025-07-12,2025-10-12,ransomware,492158
51,2025-06-19,2025-06-29,phishing,15801
62,2024-07-22,2024-08-10,phishing,19956
62,2022-06-02,2022-06-16,ransomware,491707
51,2025-03-23,2025-03-23,ransomware,2452
92,2021-09-20,2021-11-23,ransomware,
62,2023-08-19,2023-09-21,phishing,
52,2025-11-23,2025-11-28,ddos,
62,2025-01-08,2025-02-10,phishing,16129
51,2025-12-03,2025-12-14,apt,39632
52,2022-10-05,2022-11-07,trojan,8896
52,2025-01-19,2025-04-19,ransomware,54699
11,2022-01-23,2022-02-03,apt,65755
53,2022-08-05,2022-09-07,ransomware,1000
52,2024-07-18,2024-07-19,phishing,43042
31-33,2022-10-29,2022-11-12,data_breach,139803
61,2024-08-26,2024-09-27,ddos,
62,2024-05-05,2024-08-08,ransomware,1000
62,2022-11-25,2022-11-27,data_breach,36113
52,2024-07-08,2024-07-12,apt,1652
44-45,2022-11-25,2022-12-03,ransomware,29694
92,2025-07-26,2025-10-24,ddos,
52,2024-05-28,2024-05-30,ddos,
31-33,2024-01-30,2024-01-30,data_breach,
51,2022-04-09,2022-04-20,ransomware,22504
92,2021-12-02,2021-12-12,trojan,27934
71,2024-07-02,2024-10-04,backdoor,
52,2021-01-17,2021-01-27,ransomware,20656
51,2024-06-23,2024-07-10,malware,64102
51,2022-03-12,2022-03-24,supply_chain,
21,2025-09-12,2025-09-30,ddos,
31-33,2024-11-10,2024-11-25,ddos,
55,2021-09-18,2021-09-24,phishing,53527
42,2021-07-26,2021-08-11,ransomware,2103586
51,2023-05-11,2023-05-22,backdoor,
51,2021-08-22,2021-10-22,apt,
62,2023-12-31,2024-01-10,ransomware,15959
31-33,2025-12-21,2025-12-27,ransomware,285219
72,2021-02-12,2021-02-14,phishing,1426
31-33,2024-06-11,2024-07-11,supply_chain,
52,2023-04-03,2023-04-05,data_breach,
44-45,2024-08-02,2024-08-13,phishing,94431
52,2022-06-26,2022-07-31,apt,218610
48-49,2022-08-11,2022-10-13,malware,82381
22,2025-03-27,2025-05-28,data_breach,1925816
44-45,2024-05-04,2024-05-20,ransomware,81523
52,2025-08-20,2025-08-28,ransomware,111293
44-45,2022-06-11,2022-06-28,ransomware,16069
51,2023-09-04,2023-09-05,ransomware,9800
51,2021-08-23,2021-09-06,supply_chain,
51,2024-10-31,2024-11-06,malware,3865675
61,2021-09-09,2021-09-12,data_breach,19293
44-45,2025-09-27,2025-12-31,ddos,
62,2025-03-20,2025-04-05,phishing,46644
31-33,2025-11-15,2025-11-19,trojan,1283
62,2022-01-08,2022-01-13,trojan,12997
61,2024-04-29,2024-05-09,ransomware,29924
92,2024-09-24,2024-11-25,ddos,
62,2022-01-09,2022-01-23,ransomware,402732
31-33,2022-01-09,2022-02-11,data_breach,243569
51,2022-08-14,2022-09-13,phishing,207781
48-49,2025-01-15,2025-07-15,backdoor,
44-45,2024-11-27,2024-12-14,data_breach,
92,2025-12-11,2025-12-17,phishing,9983
51,2024-12-27,2025-03-27,apt,
51,2021-08-14,2021-09-02,supply_chain,
61,2024-07-14,2024-09-16,ransomware,2245
62,2024-12-27,2025-04-01,ransomware,4672448
62,2024-03-03,2024-03-14,ransomware,
51,2025-08-05,2025-08-22,ransomware,322405
54,2024-06-08,2024-09-10,phishing,86553
54,2025-09-17,2026-03-18,ransomware,26715
23,2023-08-16,2023-09-20,malware,
61,2024-05-05,2024-05-24,phishing,543577
22,2022-02-06,2022-04-12,phishing,77728
62,2025-12-22,2025-12-31,data_breach,33835
44-45,2024-10-26,2024-11-12,apt,5054
52,2023-12-09,2023-12-28,apt,3024
52,2025-07-22,2025-10-23,data_breach,15952
48-49,2022-07-23,2022-08-24,data_breach,3505
51,2021-03-25,2021-04-26,ransomware,23623
48-49,2021-10-13,2021-10-30,phishing,3495085
51,2022-06-24,2022-06-25,ddos,
56,2022-03-09,2022-06-11,data_breach,301999
62,2022-03-15,2022-03-26,ransomware,612529
52,2025-09-03,2025-10-06,apt,
51,2021-09-27,2021-10-13,apt,29014
52,2025-12-09,2025-12-14,phishing,73583
44-45,2022-04-04,2022-04-14,backdoor,
42,2023-09-02,2023-09-18,malware,244544
31-33,2022-11-28,2023-01-31,apt,
21,2021-04-24,2021-05-04,ransomware,147535
62,2022-12-19,2022-12-28,supply_chain,
51,2023-08-04,2023-11-02,ransomware,39520
54,2025-07-25,2025-08-03,phishing,457614
52,2022-06-10,2022-06-13,apt,4164398
62,2025-09-17,2025-12-16,backdoor,
92,2022-01-22,2022-01-29,apt,
31-33,2022-06-11,2022-07-14,ransomware,549736525
62,2025-11-22,2025-12-26,ransomware,
42,2021-02-24,2021-03-29,ransomware,142080
54,2025-10-11,2025-10-25,apt,7431
44-45,2024-05-01,2024-05-09,data_breach,
23,2021-05-16,2021-06-19,ddos,
52,2025-03-13,2025-05-16,data_breach,1000
51,2023-06-20,2023-06-29,data_breach,
52,2021-08-30,2021-10-03,ransomware,33370
61,2021-08-03,2021-08-06,malware,563049
51,2021-12-02,2021-12-06,apt,6030618
51,2023-10-06,2023-11-06,ransomware,
62,2025-02-01,2025-02-05,phishing,6407353
61,2021-10-19,2021-10-19,phishing,
62,2025-05-13,2025-05-24,ransomware,27996
52,2022-05-01,2022-08-02,malware,42432
44-45,2021-03-18,2021-03-21,ransomware,1000
62,2023-06-22,2023-07-25,ransomware,25789
22,2021-04-10,2021-04-16,apt,289471
44-45,2025-10-23,2025-12-27,phishing,
31-33,2024-01-29,2024-02-14,ransomware,54353
54,2025-06-20,2025-07-24,ddos,
23,2023-02-15,2023-04-19,ransomware,346580
51,2023-09-13,2023-09-20,data_breach,4203
48-49,2021-02-05,2021-08-07,ransomware,2956
72,2023-11-07,2023-11-23,ddos,
54,2022-11-23,2022-12-28,ransomware,2135
53,2025-08-24,2025-09-03,malware,14785
92,2021-03-02,2021-03-13,ransomware,4503
51,2025-05-03,2025-06-05,ransomware,293884
31-33,2025-02-15,2025-02-21,malware,695388
21,2021-05-29,2021-06-30,supply_chain,
62,2025-06-26,2025-07-02,data_breach,1422
52,2022-12-23,2023-01-10,ddos,
51,2024-03-15,2024-09-15,data_breach,342835
51,2023-01-05,2023-01-12,phishing,1000
62,2022-09-28,2022-11-01,data_breach,31688
52,2024-03-24,2024-04-12,data_breach,187522
22,2024-03-07,2024-06-10,ddos,
22,2023-12-09,2023-12-23,data_breach,11460
31-33,2022-06-20,2022-08-20,apt,3623
62,2024-01-28,2024-02-02,supply_chain,
44-45,2024-11-30,2025-01-01,trojan,2780721
92,2024-02-15,2024-05-15,ransomware,72296
22,2025-04-15,2025-05-16,trojan,2555574
61,2025-02-25,2025-02-27,data_breach,10605
62,2024-08-14,2024-08-30,ransomware,64082
62,2023-11-05,2023-11-13,backdoor,
48-49,2025-05-16,2025-05-16,phishing,279631
54,2022-12-14,2023-01-17,ransomware,569535
62,2023-01-22,2023-04-27,phishing,8295
44-45,2022-04-08,2022-05-13,backdoor,
92,2023-11-08,2024-01-10,malware,164295
92,2021-06-14,2021-07-18,phishing,468456
52,2025-03-19,2025-04-20,ransomware,
31-33,2024-04-05,2024-05-07,ransomware,1023706
11,2023-10-10,2023-11-14,phishing,304270
54,2025-10-12,2025-10-29,ransomware,344359
51,2024-01-19,2024-04-21,ransomware,26201
22,2023-10-23,2023-11-09,phishing,470293307
62,2023-07-16,2023-09-16,ransomware,23272486
31-33,2022-06-27,2022-07-14,trojan,26815
54,2024-06-10,2024-09-13,ddos,
56,2022-02-05,2022-02-06,phishing,23968
54,2025-05-08,2025-05-26,apt,1063579
44-45,2025-03-05,2025-04-05,ransomware,
62,2025-09-06,2025-10-07,apt,210761
52,2024-03-10,2024-04-11,ransomware,125553
61,2025-06-22,2025-07-24,apt,1000
71,2022-01-17,2022-02-17,data_breach,5610
31-33,2022-05-23,2022-05-27,ransomware,1000
61,2025-05-18,2025-07-21,supply_chain,
44-45,2023-12-13,2023-12-15,apt,69445
62,2024-06-27,2024-07-16,phishing,83167
92,2021-04-24,2021-05-01,malware,85998
71,2024-04-26,2024-04-28,ransomware,48002
51,2024-10-28,2024-11-01,ransomware,
52,2022-01-13,2022-01-25,phishing,64202
54,2024-06-19,2024-07-21,malware,90839
52,2023-09-03,2023-09-17,backdoor,
51,2025-09-24,2025-10-10,data_breach,1423613
52,2024-07-29,2024-08-10,trojan,217990
92,2025-12-23,2026-02-23,supply_chain,
48-49,2024-09-23,2024-10-02,ransomware,253558
51,2024-08-06,2024-09-08,data_breach,6943
52,2021-01-21,2021-02-02,apt,586531
61,2024-06-21,2024-06-23,supply_chain,
61,2022-12-14,2022-12-20,ransomware,9455
62,2021-11-21,2021-12-25,ransomware,4130
21,2021-02-13,2021-02-27,ddos,
51,2022-08-22,2022-09-22,phishing,1000
51,2022-06-06,2022-07-07,ransomware,44832
62,2025-08-19,2025-10-22,backdoor,
55,2023-08-05,2023-10-08,supply_chain,
54,2021-12-12,2021-12-20,data_breach,52490
44-45,2023-05-10,2023-05-19,data_breach,1762282
61,2021-03-09,2021-03-21,apt,352329
92,2025-05-24,2025-08-23,malware,27595
51,2021-08-04,2021-08-20,ransomware,946485
51,2025-09-22,2025-10-24,phishing,605157
56,2022-07-21,2022-07-23,ransomware,269216
62,2023-11-14,2023-11-15,data_breach,1000
62,2023-10-24,2023-10-28,ransomware,28417797
52,2022-07-18,2022-08-17,data_breach,49212
22,2023-10-29,2024-01-01,backdoor,
52,2022-01-11,2022-04-11,ransomware,238536
81,2025-08-10,2026-02-07,data_breach,278464
62,2024-08-01,2024-09-01,malware,7778
52,2021-05-19,2021-05-20,ransomware,45119
11,2021-11-04,2021-11-08,phishing,41288
52,2025-05-26,2025-06-13,ransomware,490240
51,2022-11-25,2022-11-29,ransomware,156677
52,2023-07-24,2023-08-10,data_breach,79826
62,2021-10-15,2022-04-14,ddos,
62,2025-02-10,2025-08-12,data_breach,1000
52,2021-08-10,2022-02-09,backdoor,
44-45,2023-09-08,2023-09-23,ransomware,13188
62,2025-06-21,2025-07-24,phishing,1395
23,2025-11-14,2025-12-15,data_breach,
52,2022-05-29,2022-08-27,malware,7137
92,2022-01-25,2022-07-29,supply_chain,
22,2021-03-30,2021-04-03,data_breach,4949
31-33,2025-12-26,2026-02-28,ransomware,609054
22,2023-06-22,2023-06-25,data_breach,
52,2024-05-17,2024-05-17,data_breach,1756
62,2025-07-16,2025-07-17,ransomware,484821
44-45,2023-02-27,2023-03-04,phishing,452923
92,2022-08-20,2022-11-23,data_breach,32675
42,2024-07-23,2024-08-10,apt,5959
62,2024-08-04,2024-08-12,ransomware,205972
31-33,2022-11-30,2023-01-03,phishing,6291
44-45,2025-12-27,2026-03-30,supply_chain,
61,2024-10-08,2024-10-09,supply_chain,
21,2023-09-15,2023-09-29,malware,35304
56,2025-01-19,2025-02-19,ransomware,709575
62,2023-06-24,2023-08-26,trojan,73248
62,2022-04-18,2022-10-19,malware,383974
52,2025-12-31,2026-07-04,data_breach,54569
62,2024-07-20,2024-07-30,ddos,
52,2021-12-04,2022-02-03,trojan,318658
21,2024-02-03,2024-02-08,data_breach,309074
51,2022-03-07,2022-04-06,malware,509686
61,2024-07-26,2024-08-02,malware,87288
62,2023-12-20,2024-03-22,apt,46006
51,2023-07-19,2024-01-17,ransomware,2192898
51,2023-10-14,2023-12-15,ransomware,5680
92,2022-08-21,2022-11-24,data_breach,38432
51,2023-04-25,2023-05-27,malware,5842
51,2021-04-15,2021-04-29,malware,348772
